"date","machine_id","planned_production_time_min","operating_time_min","total_units","defect_units","ideal_cycle_time_min"
"2026-03-01","M-01","480","415","5594","50","0.076"
"2026-03-01","M-02","480","404","7335","293","0.079"
"2026-03-01","M-03","480","371","5641","305","0.058"
"2026-03-02","M-01","480","374","5344","37","0.06"
"2026-03-02","M-02","480","263","7608","487","0.085"
"2026-03-02","M-03","480","300","5628","411","0.083"
"2026-03-03","M-01","480","364","5334","288","0.071"
"2026-03-03","M-02","480","317","6449","355","0.063"
"2026-03-03","M-03","480","366","7653","214","0.058"
"2026-03-04","M-01","480","373","7214","281","0.071"
"2026-03-04","M-02","480","412","7884","95","0.06"
"2026-03-04","M-03","480","451","7962","334","0.063"
"2026-03-05","M-01","480","335","5707","474","0.067"
"2026-03-05","M-02","480","429","7067","219","0.077"
"2026-03-05","M-03","480","386","5780","277","0.056"
"2026-03-06","M-01","480","415","8174","319","0.081"
"2026-03-06","M-02","480","333","7650","474","0.087"
"2026-03-06","M-03","480","453","5294","159","0.086"
"2026-03-07","M-01","480","362","6674","354","0.069"
"2026-03-07","M-02","480","383","7727","363","0.065"
"2026-03-07","M-03","480","441","6674","354","0.086"
"2026-03-08","M-01","480","323","8678","486","0.063"
"2026-03-08","M-02","480","388","7693","338","0.086"
"2026-03-08","M-03","480","431","7582","387","0.075"
"2026-03-09","M-01","480","420","7685","85","0.083"
"2026-03-09","M-02","480","418","6388","300","0.058"
"2026-03-09","M-03","480","366","8241","437","0.062"
"2026-03-10","M-01","480","267","5926","302","0.087"
"2026-03-10","M-02","480","364","8923","250","0.073"
"2026-03-10","M-03","480","420","6568","302","0.079"
"2026-03-11","M-01","480","397","6555","380","0.056"
"2026-03-11","M-02","480","418","8474","229","0.072"
"2026-03-11","M-03","480","277","5427","336","0.064"
"2026-03-12","M-01","480","458","6574","197","0.075"
"2026-03-12","M-02","480","359","5333","229","0.066"
"2026-03-12","M-03","480","370","4566","23","0.076"
"2026-03-13","M-01","480","398","7639","260","0.059"
"2026-03-13","M-02","480","442","7019","175","0.063"
"2026-03-13","M-03","480","369","8491","306","0.07"
"2026-03-14","M-01","480","456","7709","231","0.059"
"2026-03-14","M-02","480","422","7632","229","0.086"
"2026-03-14","M-03","480","430","6955","63","0.067"
"2026-03-15","M-01","480","368","7781","241","0.088"
"2026-03-15","M-02","480","358","5027","211","0.063"
"2026-03-15","M-03","480","378","8338","225","0.073"
"2026-03-16","M-01","480","421","7067","247","0.074"
"2026-03-16","M-02","480","445","5582","67","0.087"
"2026-03-16","M-03","480","352","4544","268","0.074"
"2026-03-17","M-01","480","418","7542","302","0.056"
"2026-03-17","M-02","480","360","7387","155","0.089"
"2026-03-17","M-03","480","340","5698","359","0.062"
"2026-03-18","M-01","480","431","8409","67","0.088"
"2026-03-18","M-02","480","387","6274","326","0.084"
"2026-03-18","M-03","480","401","8405","76","0.058"
"2026-03-19","M-01","480","372","5655","113","0.082"
"2026-03-19","M-02","480","426","6698","127","0.066"
"2026-03-19","M-03","480","441","8323","75","0.065"
"2026-03-20","M-01","480","319","4586","381","0.078"
"2026-03-20","M-02","480","378","6874","351","0.056"
"2026-03-20","M-03","480","397","6329","38","0.068"
"2026-03-21","M-01","480","358","6488","110","0.085"
"2026-03-21","M-02","480","309","8416","682","0.072"
"2026-03-21","M-03","480","300","5163","258","0.077"
"2026-03-22","M-01","480","384","5769","81","0.078"
"2026-03-22","M-02","480","373","6276","63","0.087"
"2026-03-22","M-03","480","439","8373","126","0.056"
"2026-03-23","M-01","480","375","6657","73","0.063"
