feature,correlation_score
has_downtime,0.9598109156184964
total_downtime_minutes,0.8311464342112649
total_downtime_minutes_normalized,0.8311464342112649
temperature,0.46489472730159237
temperature_normalized,0.46489472730159237
vibration,0.18572302214092035
vibration_normalized,0.18572302214092032
machine_failure,0.16497649516104804
fan_speed,0.07201258622163463
fan_speed_normalized,0.07201258622163463
pressure,0.03928065198292427
pressure_normalized,0.03928065198292427
rotation_speed,0.0330804973423302
rotation_speed_normalized,0.03308049734233019
humidity,0.031647493990262135
humidity_normalized,0.03164749399026212
gearbox_temperature,0.02715075143142807
gearbox_temperature_normalized,0.027150751431428057
sound_level,0.023324649099463125
sound_level_normalized,0.02332464909946312
oil_level,0.023158360880040765
oil_level_normalized,0.023158360880040765
active_power,0.01910461303566987
active_power_normalized,0.01910461303566987
voltage,0.017128797331324004
voltage_normalized,0.01712879733132399
motor_temperature_normalized,0.01371296525236157
motor_temperature,0.013712965252361535
reactive_power,0.011827823222700592
reactive_power_normalized,0.011827823222700576
current_normalized,0.00901730563121294
current,0.009017305631212929
load,0.00211210014917039
load_normalized,0.0021121001491703787
avg_defect_rate,0.0
total_output,0.0
avg_defect_rate_normalized,0.0
total_output_normalized,0.0
