feature,mean_abs_shap
total_downtime_minutes,5.048142
temperature,1.0377859
vibration,0.8476342
load,0.008443015
current,0.007966146
load_normalized,0.0
humidity_normalized,0.0
rotation_speed_normalized,0.0
voltage_normalized,0.0
current_normalized,0.0
oil_level_normalized,0.0
gearbox_temperature_normalized,0.0
motor_temperature_normalized,0.0
vibration_normalized,0.0
sound_level_normalized,0.0
fan_speed_normalized,0.0
reactive_power_normalized,0.0
active_power_normalized,0.0
avg_defect_rate_normalized,0.0
total_output_normalized,0.0
pressure_normalized,0.0
has_downtime,0.0
temperature_normalized,0.0
total_output,0.0
avg_defect_rate,0.0
machine_failure,0.0
active_power,0.0
reactive_power,0.0
fan_speed,0.0
sound_level,0.0
gearbox_temperature,0.0
motor_temperature,0.0
oil_level,0.0
voltage,0.0
rotation_speed,0.0
humidity,0.0
pressure,0.0
total_downtime_minutes_normalized,0.0
