timestamp,machine_id,operator_id,planned_production_time_min,temperature,vibration,feed_rate_deviation,pressure,ideal_cycle_time_min,operating_time_min,total_units,defect_units,Defect_Type,downtime_duration_minutes,Is_Downtime,Downtime_Reason,OEE_Percentage,Downtime_Rate,Defect_Rate
2026-04-22 15:00:00,Line-1,OP-C,60.0,78.46,1.03,0.57,103.24,1.0,60.0,55,1,None,0.0,0,None,90.0,0.0,1.82
2026-04-22 16:00:00,Line-1,OP-A,60.0,72.01,1.24,1.1,102.65,1.0,60.0,55,0,Dent,0.0,0,None,91.67,0.0,0.0
2026-04-22 17:00:00,Line-1,OP-C,60.0,73.71,0.99,-0.1,90.21,1.0,60.0,59,1,None,0.0,0,None,96.67,0.0,1.69
2026-04-22 18:00:00,Line-1,OP-C,60.0,74.19,1.13,0.43,98.21,1.0,60.0,54,1,Dent,0.0,0,None,88.33,0.0,1.85
2026-04-22 19:00:00,Line-1,OP-A,60.0,78.37,1.25,0.57,100.28,1.0,60.0,55,1,Alignment,0.0,0,None,90.0,0.0,1.82
2026-04-22 20:00:00,Line-1,OP-A,60.0,71.54,1.26,-0.41,100.67,1.0,60.0,57,1,None,0.0,0,None,93.33,0.0,1.75
2026-04-22 21:00:00,Line-1,OP-C,60.0,75.28,1.12,0.89,101.51,1.0,60.0,54,1,Scratch,0.0,0,None,88.33,0.0,1.85
2026-04-22 22:00:00,Line-1,OP-B,60.0,77.07,1.15,-0.53,103.79,1.0,60.0,54,1,None,0.0,0,None,88.33,0.0,1.85
2026-04-22 23:00:00,Line-1,OP-C,60.0,74.38,1.14,0.4,99.96,1.0,60.0,58,1,None,0.0,0,None,95.0,0.0,1.72
2026-04-23 00:00:00,Line-1,OP-C,60.0,72.66,1.19,0.15,101.77,1.0,60.0,59,1,None,0.0,0,None,96.67,0.0,1.69
2026-04-23 01:00:00,Line-1,OP-C,60.0,74.78,1.2,0.03,99.78,1.0,60.0,58,1,None,0.0,0,None,95.0,0.0,1.72
2026-04-23 02:00:00,Line-1,OP-C,60.0,78.05,1.27,1.27,94.91,1.0,60.0,59,0,None,0.0,0,None,98.33,0.0,0.0
2026-04-23 03:00:00,Line-1,OP-A,60.0,73.77,1.15,-0.15,100.16,1.0,60.0,57,1,None,0.0,0,None,93.33,0.0,1.75
2026-04-23 04:00:00,Line-1,OP-C,60.0,77.87,1.24,-0.16,103.75,1.0,60.0,58,1,None,0.0,0,None,95.0,0.0,1.72
2026-04-23 05:00:00,Line-1,OP-B,60.0,75.52,1.25,0.67,105.54,1.0,60.0,56,0,None,0.0,0,None,93.33,0.0,0.0
2026-04-23 06:00:00,Line-1,OP-A,60.0,77.47,1.22,0.38,102.69,1.0,60.0,57,1,None,0.0,0,None,93.33,0.0,1.75
2026-04-23 07:00:00,Line-1,OP-B,60.0,75.44,1.17,0.64,106.67,1.0,60.0,59,1,None,0.0,0,None,96.67,0.0,1.69
2026-04-23 08:00:00,Line-1,OP-B,60.0,74.03,1.22,0.06,102.09,1.0,60.0,55,0,Alignment,0.0,0,None,91.67,0.0,0.0
2026-04-23 09:00:00,Line-1,OP-B,60.0,78.28,1.28,0.16,104.32,1.0,60.0,56,1,Alignment,0.0,0,None,91.67,0.0,1.79
2026-04-23 10:00:00,Line-1,OP-B,60.0,75.45,1.28,0.95,104.69,1.0,60.0,56,0,None,0.0,0,None,93.33,0.0,0.0
2026-04-23 11:00:00,Line-1,OP-A,60.0,75.33,1.38,-0.42,98.88,1.0,60.0,54,1,Scratch,0.0,0,None,88.33,0.0,1.85
2026-04-23 12:00:00,Line-1,OP-A,60.0,76.62,1.1,-0.05,103.63,1.0,60.0,54,1,None,0.0,0,None,88.33,0.0,1.85
2026-04-23 13:00:00,Line-1,OP-B,60.0,76.85,1.16,0.4,95.3,1.0,60.0,58,1,None,0.0,0,None,95.0,0.0,1.72
2026-04-23 14:00:00,Line-1,OP-B,60.0,76.63,1.04,-0.1,101.75,1.0,60.0,59,1,None,0.0,0,None,96.67,0.0,1.69
2026-04-23 15:00:00,Line-1,OP-A,60.0,72.3,1.29,-0.29,102.89,1.0,60.0,56,0,None,0.0,0,None,93.33,0.0,0.0
2026-04-23 16:00:00,Line-1,OP-A,60.0,73.73,1.17,0.31,105.26,1.0,60.0,54,0,Dent,0.0,0,None,90.0,0.0,0.0
2026-04-23 17:00:00,Line-1,OP-A,60.0,73.69,1.22,0.67,104.1,1.0,60.0,54,1,None,0.0,0,None,88.33,0.0,1.85
2026-04-23 18:00:00,Line-1,OP-C,60.0,73.44,1.14,-0.07,105.32,1.0,60.0,59,0,None,0.0,0,None,98.33,0.0,0.0
